,0
1227,407374414
1228,15600208
1229,49154638
1230,156109394
1231,254675539
1232,280234580
1233,338692692
1234,640158294
1235,176949840
1236,88476248
1237,168954456
1238,159779418
1239,392956500
1240,263588444
1241,281938525
1242,380766814
1243,546835037
1244,154012254
1245,746326625
1246,551946850
1247,11536995
1248,81529443
1249,124127843
1250,314575464
1251,513542761
1252,92408426
1253,507906665
1254,242092652
1255,367266413
1256,216664686
1257,429656686
1258,427559530
1259,269093489
1260,126093938
1261,40372854
1262,138283639
1263,367790713
1264,99879547
1265,160303743
1266,383781506
1267,57418212
1268,537791109
1269,44698249
1270,190188170
1271,640420490
1272,409995918
1273,18352783
1274,215354003
1275,61082266
1276,208013979
1277,102107803
1278,601754266
1279,143133342
1280,72616607
1281,704645810
1282,212863670
1283,183896760
1284,277088956
1285,189926077
1286,199232190
1287,306580157
1288,157944511
1289,365169345
1290,525732547
1291,70650569
1292,139856586
1293,140643021
1294,30804686
1295,412224213
1296,294914773
1297,25430744
1298,138283737
1299,486673118
1300,39193314
1301,223218403
1302,630065890
1303,22809316
1304,480512744
1305,73272041
1306,32115434
1307,151784174
1308,57150193
1309,16386808
1310,163580667
1311,309725947
1312,429918972
1313,61475582
1314,295308042
1315,166071050
1316,209455890
1317,220334873
1318,145099546
1319,463342373
1320,525994790
1321,4066087
1322,246942510
1323,31591216
1324,236456753
1325,290851635
1326,352455478
1327,145361719
1328,61606712
1329,732302138
1330,216533818
1331,58854204
1332,507775816
1333,214960970
1334,596249419
1335,228330319
1336,289803094
1337,3410774
1338,504105818
1339,459541339
1340,18746204
1341,138152794
1342,271190879
1343,643435374
1344,604900212
1345,397151095
1346,68815736
1347,589040507
1348,421530495
1349,87034751
1350,229247874
1351,313265029
1352,390990727
1353,236325779
1354,92670870
1355,12979094
1356,281021339
1357,3541916
1358,127273884
1359,146148254
1360,495717276
1361,542772123
1362,171314083
1363,36440996
1364,259263398
1365,156371879
1366,216533928
1367,15993769
1368,533597099
1369,18746283
1370,113118131
1371,920501
1372,391121848
1373,142609338
1374,545000379
1375,355077053
1376,224660413
1377,396889025
1378,295963585
1379,483658690
1380,29100996
1381,82709445
1382,385223622
1383,430312387
1384,11013065
1385,241699788
1386,278793167
1387,221645779
1388,297929684
1389,147065812
1390,327158739
1391,386796503
1392,9702360
1393,332139483
1394,361106396
1395,225184734
1396,324668392
1397,364776425
1398,20450284
1399,151260146
1400,250219506
1401,270535669
1402,155061237
1403,11537400
1404,15993850
1405,115739644
1406,539102212
1407,689048581
1408,3935242
1409,45353995
1410,542641165
1411,74058771
1412,34868246
1413,260181014
1414,87690264
1415,133172249
1416,639110170
1417,220597275
1418,578817051
1419,43387927
1420,453250078
1421,9047063
1422,385485856
1423,147196962
1424,2231331
1425,139856932
1426,322833447
1427,57936936
1428,294784042
1429,145886252
1430,74583086
1431,178785329
1432,335154227
1433,370674742
1434,63310902
1435,329649210
1436,604245052
1437,213388349
1438,167119936
1439,603982913
1440,177736770
1441,664276033
1442,463080517
1443,209456204
1444,520883276
1445,81267792
1446,269880406
1447,381684823
1448,314051672
1449,556272728
1450,223743064
1451,52956252
1452,265309
1453,401345630
1454,205786208
